chapter_id,character,text,sentiment,sentiment_score
2c,Citizen,"Get in here, hurry! Civil protection is on to us. We are tearing up the railroad, covering up our tracks. Looks like you are going to be the last one through. Be glad you are not the guy they are looking for. Poor bastard does not stand a chance. Sounds like they are calling in every CP unit in city 17. Now they are flooding the areas up ahead with manhacks. You better get going before they sweep through here",negative,0.8322109580039978
2c,Citizen,Oh shit!,positive,0.35831519961357117
2c,Citizen,"Thanks for your help. Look it isnt safe here, I will give you some supplies to get you going but then you have to leave. Good luck out there!",positive,0.41671714186668396
2c,Citizen,Hey! You are Freeman arent you? We got word that you were coming. You got here at a bad time.,negative,0.7772621512413025
2c,Alyx,"Black Mesa East to station 6 do you read? Dr. Freeman is on his way downriver. Lend him the airboat and give him all the help you can. Repeat Gordon Freeman has returned, it is critical he reaches Black Mesa East.",neutral,0.7075758576393127
2c,Citizen,You better get going now.,neutral,0.6413651704788208
2c,Citizen,"Hey, Dr. Freeman I had been hoping you would show up, got this airboat all gassed up and ready to go. Its gonna be tough dodging civil protection out there in the open, but drive hard and you will make it. You will find more help at station 7, just up the river, its the red barn. Climb on in, and fire her up. You had better get going now!",positive,0.7199784517288208
2d,Citizen,Hey! You down there! Supplies!,neutral,0.5150891542434692
2d,Citizen,Look out below!,neutral,0.7764564752578735
2d,Dr. Breen,"We now have direct confirmation of a disruptor in our midst, one who has acquired an almost meesianic reputation in the minds of certain citizens. His figure is synonymous with the darkest urges of instinct, ignorance, and decay. Some of the worst excesses of the Black Mesa incident have been laid directly at his feet. And yet unsophisticated minds continue to imbue him with romantic power. Giving him such labels as, the one free man, or the opener of the way. Let me remind all citizens of the dangers of magical thinking. We have scarcely begun to climb from the dark pit of our the evolution of our species. Let us not slide backward into oblivion, just as we have finally",negative,0.8238362669944763
2d,Begun To See The Light. If You See This So Called Free,"man, report him.",negative,0.7327096462249756
2d,Civic Deeds Do Not Go Un,rewarded and likewise complicity with his cause will,neutral,0.825808048248291
2d,Not Go Un,punished. Be wise. Be safe. Be aware.,neutral,0.7332713603973389
2d,Citizen,Hey! You are freeman arent you?,neutral,0.6240101456642151
2d,Citizen,Well! I wouldnt believe it if I couldnt see it with my own eyes. Dr. Gordon Freeman himself!,neutral,0.38832005858421326
2d,Citizen,"You are just in time doc, we have gotta move out before the combine picks us up, we are getting ready to pull out.",neutral,0.6475396156311035
2d,Citizen,"We better hurry, we have to tear down this camp before the combine gets here.",negative,0.5907935500144958
2d,Vortigaunt,Greetings to the Freeman.,positive,0.78593909740448
2d,Citizen,"Come on in, I will show you what you are up against.",positive,0.5179141759872437
2d,Citizen,Here take a look at this. This here is the dam just up ahead.,neutral,0.8514984846115112
2d,Citizen,"The hideout is here, a stones throw away from the apron and nestled in the old hydro plant. But getting there, with that hunter chopper on your ass, next to impossible. Good news is, the vorigaunt is working his magic on your airboat, so you will have a little more firepower going forward. I think he is just finishing up now. Go on out.",positive,0.533605694770813
2d,Citizen,There we are. That gun came off of one of the same hunter choppers that you are up against. I always like to bring a little irony to a firefight.,negative,0.6282060146331787
2d,Vortigaunt,"The freeman will accept this weapon, or suffer greatly on the road ahead.",negative,0.881452202796936
2d,Citizen,Farwell Dr. Freeman.,neutral,0.9336573481559753
2d,Vortigaunt,For Freedom!,positive,0.5543649792671204
2d,Citizen,Give them hell doc.,negative,0.8784375786781311
2e,Dr. Mossman,"We have got something. Okay, its human. Hello? Take it easy in there you are safe now. You will have to forgive the scanning process we cant take any chances.",positive,0.5399128794670105
2e,Dr. Mossman,"Dr. Freeman? Gordon Freeman?! Is that you? You made it here this quickly? Well is Eli is going to be amazed, not to mention relieved. I am Dr. Mossman, Dr. Judith Mossman. I have been hearing about you since long before the Black Mesa incident. Oh! Black Mesa. I do so envy you working with Eli and Dr. Kliener when they were at the top of their field. Ah! There we go you can come through now.",positive,0.9036691784858704
2e,Dr. Mossman,I will take you down to Eli right away. He would never forgive me if I kept you waiting.,negative,0.921008825302124
2e,Dr. Mossman,"We could certainly use the extra help around here. We have covered a lot of ground in the last few months, but things would go much more faster if we had more people with your training. We are closing in on a reliable local teleport technology, something even the combine has not mastered. Eli thinks their portals are string based, similar to our Calabi-Yau model, but they have failed to factor in the dark energy equations. They can tunnel through from their universe, but once they are here they are dependent on local transportation. If they knew what we were doing with entanglement...",positive,0.7070910930633545
2e,Dr. Mossman,"Oh listen to me, I sound like a post-doc. I am just so excited to think that we will finally get the chance to work together.",positive,0.9854410290718079
2e,Dr. Mossman,"Were was I? Oh yes, Dr. Kliener compressed the xen relay far beyond anything he imagined at Black Mesa. We figured out how to use xen as an unexpressed axis, effectively a dimensional slingshot so we can swing around the borderworld and come back in local space without having to pass through.",positive,0.6245556473731995
2e,Dr. Mossman,Oh! Here is Eli now.,positive,0.4860365092754364
2e,Eli,Alright good you keep right on it.,positive,0.7862678170204163
2e,Dr. Mossman,Eli! Look who I found in the airlock.,neutral,0.5371460914611816
2e,Eli,"Gordon Freeman! Let me get a look at you man! My god man you havent changed one iota. How do you do it? Now lets see the last time I saw you, I sent you up for help after the resonance cascade. I never thought it would take you this long to get back to me. Welcome to the lab anyway, its not Black Mesa but it serves us well enough.",negative,0.44143807888031006
2e,Dr. Mossman,Its going to be a lot more like Black Mesa with Gordon here to help.,neutral,0.6935495138168335
2e,Eli,"Right you are, M.I.T. graduates are few and far between these days. We will get you out of that hazard suit and back into your lab coat where you belong.",neutral,0.5619980096817017
2e,Dr. Mossman,Lemme just finish up some work and I will see what I can dig up. Dr. Freeman? It has been a real honor. I am looking forward to working together.,positive,0.9749307036399841
2e,Eli,Feel free to look around.,neutral,0.6667522192001343
2e,Alyx,"Ah! Gordon, the vorigaunts said you were here. I cannot believe you made it so quickly on foot.",positive,0.5061752796173096
2e,Eli,I believe he broke your record honey.,positive,0.5606155395507812
2e,Alyx,Well he earned it. I guess you proved you can handle yourself out there.,positive,0.8660098910331726
2e,Eli,There is nothing Gordon cannot handle..with the possible exception of you.,neutral,0.48927104473114014
2e,Alyx,Dad!,positive,0.8921413421630859
2e,Eli,Haaaa,positive,0.49172815680503845
2e,Eli,Take a look at this Gordon.,neutral,0.8625463843345642
2e,Dr. Mossman,Alyx I though you were on watch?,neutral,0.9277196526527405
2e,Alyx,The vorigaunts relieved me show I could come see Gordon. Anyway I should be in here working on the portal.,positive,0.5076842308044434
2e,Dr. Mossman,I have the repairs well in hand. Someone misjudged the capacity of the combine thyristor..,neutral,0.6699337959289551
2e,Alyx,Are you blaming me?,negative,0.6659157276153564
2e,Dr. Mossman,No it was a calculation error not a mechanical problem.,negative,0.5849888324737549
2e,Alyx,"Then maybe you should let me do the calculations next time, as well as the installing.",neutral,0.7960562109947205
2e,Dr. Mossman,"Alyx really, sometimes I think you deliberately misunderstand me.",negative,0.7618818283081055
2e,Eli,Ahem. Alyx why dont you take Gordon and show him the gravity gun.,neutral,0.8103713989257812
2e,Alyx,"Sure, come on Gordon, lets go have some fun.",positive,0.8875684142112732
2e,Dr. Mossman,The zero point field energy manipulator is not a toy Alyx,negative,0.6639143824577332
2e,Alyx,Lets get out of here.,negative,0.5643153190612793
2e,Alyx,"So I seen you met Dr. Mossman, she is one of the main reasons I spend so much time outside. You should hear her drone on about how it should have been her in the Black Mesa test chamber that day. I am sorry I shouldnt be talking behind her back, it just gets a bit cluastraphobic down here.",neutral,0.5543649792671204
2e,Alyx,Thats the old passage to Ravenholm. We dont go there anymore. Come on.,neutral,0.5736809372901917
2e,Alyx,"So here we are, the scrapyard. This is the gravity gun my father was talking about, you can call it the zero point energy field manipulator if you really want to.",neutral,0.671764075756073
2e,Alyx,"Its designed for handling hazardous materials, but we mainly use it for heavy lifting. Give it a try. The primary trigger emits a charge, you can punt stuff and send it flying. I found it handy for clearing minefields. The secondary trigger lets you grab things, you can send them flying with the primary. Once you have picked something up, you can drop it gently by pressing your secondary trigger again. Pick up some stuff and toss it. You can also pull stuff over from a distance. Try grabbing those barrels from that ledge up there. All right.",neutral,0.6305559873580933
2e,Alyx,"Now let me call dog, he loves to play fetch. Dog! Come!",positive,0.9440199136734009
2e,Alyx,"Gordon this is dog, my dad built him to protect me when I was a kid.",neutral,0.6252203583717346
2e,First Model Way About Yay,high I have been adding to him ever since. Ok dog lets play catch with Gordon. You will need to use the gravity gun. Go ahead dog. Throw!,positive,0.6147609949111938
2e,Alyx,"Dog, go get your ball!",neutral,0.5278748273849487
2e,Alyx,"When I told you that you would be playing fetch, I didnt tell you who would be fetching did I.",neutral,0.7784318327903748
2e,Alyx,Ok Gordon lets try something else. Throw something bigger dog.,neutral,0.5567842125892639
2e,Alyx,No Dog! No boy put that down! What is it dog?,negative,0.6618949174880981
2e,Alyx,Oh my god what was that? Scanners! The combine is sweeping the area! We have to head back to the lab come on Gordon!,negative,0.6431408524513245
2e,Alyx,Dad its Alyx are you there?,neutral,0.893894374370575
2e,Eli,Alyx.. Honey,neutral,0.8151076436042786
2e,Alyx,Whats going on in there?,neutral,0.8014856576919556
2e,Eli,Where are you Alyx?,neutral,0.9463290572166443
2e,Alyx,We are in the scrapyard airlock stuck in a full autocycle.,negative,0.4917757213115692
2e,Eli,Is Gordon still with you?,neutral,0.9544010758399963
2e,Alyx,He is right here.,neutral,0.6936429738998413
2e,Eli,"Good, I want you two to..",positive,0.8613078594207764
2e,Alyx,Dad?,neutral,0.8366150856018066
2e,Eli,"Take Gordon out of here, head for the coast! Do not go through raven..",negative,0.6371421217918396
2e,Alyx,"Dad? Dad! Damn it! Dog open the airlock get us out of here! Hurry now! Tear it apart if you have to, just get it open! Thats enough dog. Come on Gordon! Come on!",negative,0.5576871633529663
2e,Alyx,"Gordon you need to get out of here, I cant leave my father. Dog, take Gordon to the Ravenholm tunnel, then circle around and try to meet up with me.",negative,0.5648020505905151
2f,Father Gregori,"For it was said that they had become like those peculiar demons which dwell in matter, but in which no light may be found.",negative,0.6575407981872559
2f,Father Gregori,"For the days of my life have vanished like smoke, and my bones are parched like ash, and let all my impurities be as fuel for that fire until nothing remains but the light alone.",negative,0.5307187438011169
2f,Father Gregori,"May they become like dust before the wind, may the angel of the lord pursue them.",neutral,0.5929072499275208
2f,Father Gregori,"But whos is this? Another life to save? I will keep my eye on you, more than that I cannot promise.",neutral,0.5228719711303711
2f,Father Gregori,Well done brother. Make free us of my traps. But take care not to fall in them yourself. Behind you!,positive,0.7264642715454102
2f,Father Gregori,"In Ravenholm, you do well to be vigilant.",neutral,0.5021407604217529
2f,Father Gregori,"Better and Better! I am Father Gregori, you have already met my, congregation, aha aha ahaaa!",positive,0.9721631407737732
2f,Father Gregori,"Ah! It is you brother! I apologize, but no harm done. My bullets are the least of your concerns.",negative,0.48753681778907776
2f,Father Gregori,"Although they call me crazy I care not, for thou art my helper my strength, and my savior.",positive,0.8308261036872864
2f,Father Gregori,Here brother! Come closer. You have stirred up hell! A man after my own heart! Here I have a more suitable gun for you. You will need it. Catch!,negative,0.43498754501342773
